"tasker_email","submission_datetime","bidder_email","bid_amt","bid_datetime","bid_status"
"gurmitsingh@yahoo.com","1541754000","ongweekeong@gmail.com","$57.00","2018-11-08 23:44:06","in progress"
"bennyl@gmail.com","1541660400","ongweekeong@gmail.com","$70.00","2018-11-08 23:44:26","in progress"
"bennyl@gmail.com","1541660400","galgadot@gmail.com","$135.00","2018-11-08 23:45:29","in progress"
"blackwindow@hotmail.com","1542787200","galgadot@gmail.com","$80.00","2018-11-08 23:45:51","in progress"
"bigmuscles@hotmail.com","1542178800","galgadot@gmail.com","$125.00","2018-11-08 23:46:08","in progress"
"potterh@gmail.com","1541552400","galgadot@gmail.com","$75.00","2018-11-08 23:46:32","in progress"
"potterh@gmail.com","1541552400","leonardo@gmail.com","$70.00","2018-11-08 23:51:23","in progress"
"jeevancool@gmail.com","1541930400","leonardo@gmail.com","$7.00","2018-11-08 23:52:12","in progress"
"bennyl@gmail.com","1541401200","swhansolo@yahoo.com","$112.00","2018-11-08 23:53:04","in progress"
"danielradcliffe@hotmail.com","1541592000","swhansolo@yahoo.com","$73.00","2018-11-08 23:54:18","in progress"
"jenniferlawrence@gmail.com","1541934000","swhansolo@yahoo.com","$78.00","2018-11-08 23:54:41","in progress"
"galgadot@gmail.com","1542186000","blackwindow@hotmail.com","$105.00","2018-11-08 23:55:35","in progress"
"swhansolo@yahoo.com","1542420000","blackwindow@hotmail.com","$100.00","2018-11-08 23:55:52","in progress"
"leonardo@gmail.com","1542510000","blackwindow@hotmail.com","$75.00","2018-11-08 23:56:07","in progress"
"bennyl@gmail.com","1541660400","blackwindow@hotmail.com","$75.00","2018-11-08 23:56:25","in progress"
"bennyl@gmail.com","1541401200","itsjohncena@gmail.com","$100.00","2018-11-08 23:57:10","in progress"
"itsjohncena@gmail.com","1541570400","leonardo@gmail.com","$75.00","2018-11-08 23:51:41","won"
"smartyjingao@hotmail.com","1541588400","itsjohncena@gmail.com","$89.00","2018-11-08 23:57:45","in progress"
"bennyl@gmail.com","1541660400","chiobu@gmail.com","$71.00","2018-11-09 00:12:23","in progress"
"jenniferlawrence@gmail.com","1541818800","chiobu@gmail.com","$100.00","2018-11-09 00:13:01","in progress"
"itsjohncena@gmail.com","1541751072","chiobu@gmail.com","$1,227.00","2018-11-09 16:13:46.433288","lost"
"chiobu@gmail.com","1541840400","leonardo@gmail.com","$35.00","2018-11-08 23:51:55","won"
"potterh@gmail.com","1541552400","britishspy@gmail.com","$95.00","2018-11-09 00:15:00","in progress"
"chiobu@gmail.com","1541815200","britishspy@gmail.com","$100.00","2018-11-09 00:15:17","in progress"
"myemailjeff@gmail.com","1542423600","britishspy@gmail.com","$100.00","2018-11-09 00:16:23","in progress"
"imbatman@gmail.com","1542103200","ongweekeong@gmail.com","$50.00","2018-11-08 23:44:45","won"
"imbatman@gmail.com","1542103200","itsjohncena@gmail.com","$51.00","2018-11-08 23:58:05","lost"
